Должность,Работодатель,Дата публикации,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
Бариста-официант в кофейню ROASTER coffee,ROASTER кофе,2025-10-21,85.0,120.0,6000.0,500.0,12.0,От 1 года до 3 лет,ТК,"2/2, 3/2, 4/2",2 раза в месяц,"питание, кофе","Умение работать в команде. Грамотная речь. Ответственность, доброжелательность, готовность к обучению. Знание iiko (желательно). Рассмотрим кандидатов с опытом от 1...",https://hh.ru/vacancy/126779019
Начинающий Бариста/Бармен в мини-кафе,Клепиков Сергей Михайлович,2025-10-22,74.0,91.0,,,,Нет опыта,ТК,5/2,Еженедельно,форма,Приготовление напитков. Поддержание чистоты за баром.,https://hh.ru/vacancy/126134250
Бариста,Промоделдженерейшен,2025-10-21,4.5,5.0,,,10.0,От 1 года до 3 лет,ТК,2/5,,кофе,Обслуживать гостей кофейни. Консультировать по ассортименту кофейни. Вcе оcтальные мoменты oбcуждаютcя нa сoбесeдованиe.,https://hh.ru/vacancy/125980153
Офицант/Бармен/Бариста,PIMS (ИП Тищенков Олег Михайлович),2025-10-19,80.0,105.0,4440.0,370.0,'8-12,Нет опыта,ТК,8/12,2 раза в месяц,"форма, униформа, бонус, бонусы","Качественное и быстрое приготовление напитков. Поддержание порядка и чистоты на рабочем месте. Предоставление фирменного сервиса гостям. Общение с гостями, работа...",https://hh.ru/vacancy/126622539
Бариста ONE PRICE COFFEE,Ван Груп Компани,2025-10-21,,67.5,,,,Нет опыта,ТК,5/2,,"питание, форма, премии, бонус, бонусы, обучение, кофе","Готовить вкусный кофе, создавать отличное настроение гостям, работать с кассой и поддерживать чистоту и уют. Ждем тебя в команду, если ты: Коммуникабельный, энергичный, позитивный, опрятный; Хочешь развивать кофейную экспертизу; Стремишься получить практический опыт в кофейной сфере или прокачать его и вывести на новый уровень; Уже работал в кофейне или пока еще новичок, желающий научиться искусству приготовления кофе :) Уже закончил учебное заведение или точно знаешь, как совмещать учебу и работу! Особенно ждем бариста со станций метро: МЦК Коптево, МЦК Окружная, МЦК Автозаводская, МЦК ЗИЛ, МЦК Дубровка, м. Коломенская, м. Каширская, м. Авиамоторная, м. Шоссе Энтузиастов, м. Перово, м. Нижегородская, МЦК Площадь Гагарина, м. Ленинский проспект, м. Академическая, м. Шаболовская, МЦК Крымская, МЦК Владыкино, м. Молодежная, м. Волоколамская, м. Достоевская, м. Профсоюзная, м. Комсомольская, м. Нагатинская, МЦК Верхние Котлы и др.",https://hh.ru/vacancy/123392346
Бариста в кофейню,SKY GROUP,2025-10-19,82.0,,,,,Нет опыта,ТК,3/3,2 раза в месяц,"скидки, обучение, кофе",* Приготовление кофе и других напитков по авторским рецептам. * Обслуживание клиентов на высоком уровне. * Поддержание чистоты и порядка на рабочем месте. * Работа с кассой и ведение учёта продаж.,https://hh.ru/vacancy/126420555
Бариста в кофейню One Price Coffee (м. Варшавская),OnePrice Coffee,2025-10-21,83.2,,3240.0,270.0,12.0,Нет опыта,ТК,6/1,2 раза в месяц,"форма, премии, бонус, бонусы, обучение, кофе","Готовить лучший кофе в городе, согласно стандартам компании. Общаться с гостями и ориентировать по нашему меню. Работать с кассой (всему...",https://hh.ru/vacancy/126208107
Бариста на флагман HQ! coffee Сити-парк,HQ!,2025-10-16,98.0,155.0,4320.0,360.0,12.0,От 1 года до 3 лет,ТК,64/27,2 раза в месяц,"скидки, кофе",Команда HQ!Coffee в поисках <highlighttext>бариста</highlighttext> в кофейню ЖК Сити-парк. Работа с классным зерном собственной обжарки.,https://hh.ru/vacancy/126601980
Бариста Аэроплан.кофе,Аэроплан. Кофе,2025-10-20,79.5,99.0,4800.0,400.0,'10-12,От 1 года до 3 лет,ТК,"4/3, 10/12",,"питание, кофе","варить действительно вкусный кофе, вываривать из каждого сорта зерна максимум вкуса, делиться своими открытиями и эмоциями с нашими гостями и помогать им погружаться в кофейный мир, поддерживать порядок и чистоту на своем рабочем месте, развиваться самому и помогать команде становиться еще лучше.",https://hh.ru/vacancy/126729811
Бариста-кассир,Павленко Дарья Александровна,2025-10-22,90.0,105.0,,,,Нет опыта,ТК,5/2,,"скидки, обучение, кофе","Готовить вкусный кофе и другие напитки по нашим стандартам. Общаться с гостями, создавать дружескую атмосферу. Работать на кассе и принимать...",https://hh.ru/vacancy/126818409
Начинающий бариста,SKY GROUP,2025-10-20,82.0,,,,,Нет опыта,ТК,3/3,2 раза в месяц,"скидки, обучение, кофе",* Приготовление кофе и других напитков по авторским рецептам. * Обслуживание клиентов на высоком уровне. * Поддержание чистоты и порядка на рабочем месте. * Работа с кассой и ведение учёта продаж.,https://hh.ru/vacancy/126325362
Бариста в Москвариум,Москвариум,2025-10-21,,150.0,,,,От 1 года до 3 лет,ТК,2/2,,"ДМС, питание, бесплатное питание, скидки","🐾 Ищем сотрудника в КапиКафе 🐾 Хочешь работать в крутом месте у Москвариума, рядом с милыми капибарами? Обязанности простые — работать в кафе, радовать посетителей и наслаждаться атмосферой! 😊 Что мы предлагаем: График 2/2 — отдыхай ярко и регулярно Официальное оформление ДМС Бесплатное питание Зарплата 4500 ₽ за смену + премия Скидки на продукцию компании Если хочешь вместе с нами создавать уют и классное настроение — пиши\звони, мы ждем именно тебя! 🚀",https://hh.ru/vacancy/125444879
Бариста-кассир в кафе,Римляне,2025-10-22,70.0,105.0,,,12.0,Нет опыта,ТК,"2/2, 3/3",2 раза в месяц,"питание, бесплатное питание, кофе, чай",Консультировать гостей по меню. * Работать с кассой и принимать заказы. * Следить за порядком на витрине. * Готовить вкуснейшие напитки: кофе/чай...,https://hh.ru/vacancy/126244428
Бариста,SKY GROUP,2025-10-19,82.0,,,,,Нет опыта,ТК,3/3,2 раза в месяц,"скидки, обучение, кофе",* Приготовление кофе и других напитков по авторским рецептам. * Обслуживание клиентов на высоком уровне. * Поддержание чистоты и порядка на рабочем месте. * Работа с кассой и ведение учёта продаж.,https://hh.ru/vacancy/125868284
Бариста,Coffee bean,2025-10-21,80.0,,,,'8-9,Нет опыта,ТК,"5/2, 7/16, 12/20, 8/9",,кофе,Приготовление кофе и других напитков. >Работаем в IIKO. Тренинги и семинары для развития твоих soft & hard skills.,https://hh.ru/vacancy/126106624
Бариста (ТЦ ЦДМ),Томиоми,2025-10-21,75.0,85.0,,,'9-13,Нет опыта,ТК,"9/13, 5/10",2 раза в месяц,"питание, корпоративное питание, форма, кофе","Обслуживать Гостей за кассой и создавать им отличное настроение.  Качественно готовить напитки из меню согласно ТТК.  Соблюдать нормы санитарии , поддерживать...",https://hh.ru/vacancy/126791369
Бариста (Москва сити),FreshCafe,2025-10-21,96.0,,,,8.0,Нет опыта,ТК,5/2,,"питание, форма, униформа, бонус, бонусы, подарки, обучение, проезд, оплата проезда",Приготовление напитков • Работа с кассовой программой IIKO • Общение с гостями • Соблюдение стандартов санитарии на рабочем месте Мы оцениваем в кандидатах: • Опыт работы бариста от 6 месяцев • Организованность • Умение работать в команде,https://hh.ru/vacancy/125815509
Бариста Surf Coffee x Akademik (м. Проспект Вернадского),Surf Coffee,2025-10-20,60.0,90.0,,,,Нет опыта,ТК,5/2,,"питание, форма, униформа, премии, бонус, обучение, кофе","Приготовление напитков по стандартам компании Общение с гостями в формате дружеской беседы Работа с кассой и соблюдение чек-листов Участие в жизни кофейни, командных встречах и предложениях по улучшению Surf Coffee® — это больше, чем работа. Это сообщество, стиль жизни и возможности. Если хочешь расти, развиваться и быть частью команды, которая двигается вперёд — мы ждём именно тебя. We Are Greater Than I",https://hh.ru/vacancy/126639094
Бариста,Желтый Кофе и Бейглы,2025-10-22,70.0,130.0,,,'10-12,От 1 года до 3 лет,ТК,"3/3, 2/2, 3/2, 7/10",,"питание, бонус, бонусы, скидки, кофе","Приготовление напитков по стандартам компании. Настройка помола и работа с кофемашиной. Работа с кассой и обслуживание клиентов. Контроль товарных остатков и составление заказов на продукцию. Выкладка выпечки, десертов и напитков. Прием поставок и поддержание чистоты на рабочем месте.",https://hh.ru/vacancy/126478255
Начинающий бариста в ONE & DOUBLE,OD BRANDS,2025-10-20,67.5,99.0,3600.0,300.0,12.0,Нет опыта,ТК,"2/2, 3/3, 3/1, 4/2, 5/2, 6/1",,"питание, форма, бонус, бонусы, кофе",Приготовление самых вкусных напитков. Наводить уют в кофейне. Помощь гостю при выборе в меню.,https://hh.ru/vacancy/126508436
"Бариста (Кофейня ""Аленка"", м. Новослободская)",Группа Гута,2025-10-22,95.0,,,,,Нет опыта,ТК,2/2,2 раза в месяц,"питание, бесплатное питание, скидки, кофе",Качественное обслуживание гостей кофейни. Приготовление напитков по стандартам компании. Консультирование посетителей по ассортименту кофейни и помощь в выборе блюд. ,https://hh.ru/vacancy/126816756
Бариста в кафе,ВНБ,2025-10-21,50.0,117.0,3600.0,300.0,12.0,От 1 года до 3 лет,ГПХ,"2/2, 3/3, 5/2",,"питание, кофе","Приготовление и продажа высококачественного кофе, чая и других напитков Уход за оборудованием и инвентарем Соблюдение стандартов качества и профессионализма, определенных компанией Ведение документации и контроль за наличием ингредиентов и прочих расходных материалов Оформление витрин в зоне кафе Контроль за остатками товара и сроков годности Кассовая дисциплина",https://hh.ru/vacancy/126769872
Бариста в OnePriceCoffee,OnePriceCoffee (ИП Сулейманов Адыгезал Озухан Оглы),2025-10-21,4.5,5.5,267600.0,22300.0,12.0,Нет опыта,ТК,"2/2, 5/2",,,"Общаться с гостями и ориентировать в нашем меню, - Готовить вкуснейшие напитки соблюдая стандарты качества компании; — Помогать гостям оплатить свой заказ, используя кассу, терминал, приложение; - Поддерживать порядок на рабочем",https://hh.ru/vacancy/126793600
Бариста,FreshCafe,2025-10-21,96.0,,,,8.0,Нет опыта,ТК,5/2,,"питание, форма, униформа, бонус, бонусы, подарки, обучение, проезд, оплата проезда",Приготовление напитков • Работа с кассовой программой IIKO • Общение с гостями • Соблюдение стандартов санитарии на рабочем месте Мы оцениваем в кандидатах: • Опыт работы бариста от 6 месяцев • Организованность • Умение работать в команде,https://hh.ru/vacancy/125450802
Бармен-бариста в ресторан “Parfe Cafe” (м. Зюзино),Парфэ,2025-10-19,90.0,130.0,,,12.0,Нет опыта,ТК,"2/2, 3/3",2 раза в месяц,"форма, обучение, кофе","Создавать алкогольные и безалкогольные коктейли. Готовить свежевыжатые соки, лимонады, смузи и прохладительные напитки. Обслуживать гостей, создавая атмосферу уюта и заботы. ",https://hh.ru/vacancy/126032417
Бариста в кофейню One Price Coffee (м. Новослоботская),OnePrice Coffee,2025-10-21,73.9,,3360.0,280.0,12.0,Нет опыта,ТК,64/27,2 раза в месяц,"форма, премии, бонус, бонусы, обучение, кофе","Готовить лучший кофе в городе, согласно стандартам компании. Общаться с гостями и ориентировать по нашему меню. Работать с кассой (всему...",https://hh.ru/vacancy/126207541
Бариста в specialty кофейню YCP / YourCoffeePlace,YourCoffeePlace,2025-10-20,80.0,95.0,4560.0,380.0,12.0,От 1 года до 3 лет,ТК,"2/2, 9/22, 10/22",,кофе,"Опыт работы <highlighttext>бариста</highlighttext> от полугода. Уверенный базовый латте-арт (сердце, тюльпан). Умение работы с альтернативными методами заваривания (фильтр, воронка). Ответственного. ",https://hh.ru/vacancy/125656489
Бариста,Prosvet coffee,2025-10-20,70.0,90.0,4320.0,360.0,12.0,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,"питание, бесплатное питание, кофе","Опыт работы на должности <highlighttext>бариста</highlighttext> будет преимуществом, но не обязателен. Отличные коммуникативные навыки. Пунктуальность, опрятность, работа в команде.",https://hh.ru/vacancy/126528702
Бармен-Бариста ( Администратор мини-кофейни ),Клепиков Сергей Михайлович,2025-10-20,74.4,91.1,,,,Нет опыта,ТК,64/27,Еженедельно,"форма, обучение",Приготовление напитков. Поддержание чистоты за баром.,https://hh.ru/vacancy/126140811
Бариста,Кофейня COFFEIRA,2025-10-21,85.0,95.0,4560.0,380.0,12.0,Нет опыта,ТК,"5/2, 7/40, 18/30",Еженедельно,,"настраивать помол, варить качественный эспрессо, продавать сопутствующие закуски, чистота рабочего места",https://hh.ru/vacancy/126545313
Бариста,Кофейня Bodriy,2025-10-19,4.5,5.0,3000.0,250.0,12.0,Нет опыта,ТК,5/2,,кофе,"Открытие и закрытие рабочей смены. Работа за баром - приготовление напиток,оформление витрины и поддержания чистоты. Ответственность, пунктуальность, честность. Работа с остатками,поставками. Работа по технологическим картам. Доброжелательность к гостям,желание находится и поддерживать дружелюбную атмосферу, заинтересованость в работе.",https://hh.ru/vacancy/126690166
Бариста в кофейню One Price Coffee (м. Марьино),OnePrice Coffee,2025-10-21,86.2,,,,,Нет опыта,ТК,2/2,,"питание, обучение, кофе","Приготовление кофейных напитков по утвержденным рецептам Работа с кассой и участие в инвентаризациях Поддержание уютной атмосферы в кофейне, создание позитивного настроения для наших гостей Соблюдение чистоты и порядка на рабочем месте Требования к тебе: Любовь к кофе Приветливость, коммуникабельность, энтузиазм Готовность учиться новому и развиваться профессионально Пунктуальность и ответственность Присоединяйся к нам и стань частью команды, где каждая чашка кофе - это искусство и удовольствие. Мы гарантируем, что ты не только научишься готовить вкуснейший кофе, но и найдешь здесь друзей и возможность развиваться вместе с нами! :)",https://hh.ru/vacancy/126211042
Бариста,СЕРВИС ТРАНС ЭКСПЕДИЦИЯ,2025-10-20,4.0,4.5,3960.0,330.0,12.0,Нет опыта,ТК,2/2,2 раза в месяц,"форма, униформа, кофе",✓ Приготовление кофе на рожковой кофемашине ✓ Работа с кассой ✓ Дружелюбное общение с гостями и активные продажи ✓ Поддержание чистоты на рабочем месте и выкладка продукции Оставь ОТКЛИК / ЗВОНИ. Стань частью нашей кофейной семью❤ #HH-1888#,https://hh.ru/vacancy/126299513
Бариста,Мокко,2025-10-22,110.0,120.0,,,12.0,Нет опыта,ТК,5/2,Ежемесячно,"питание, кофе","Бариста в кофейню «Варим кофе» ☕ 🌿 Что ты будешь делать: ✨ Готовить напитки по стандартам Specialty кофе. ✨ Работать с кофемашиной La Marzocco и альтернативой (V60, фильтр). ✨ Общаться с гостями, подбирать напитки по настроению. ✨ Поддерживать уют и порядок за стойкой — ведь атмосфера начинается с бариста.",https://hh.ru/vacancy/126688422
Бариста,Кофейня Cofix,2025-10-21,40.0,90.0,,,,Нет опыта,ТК,5/2,2 раза в месяц,"обучение, кофе",Приготовление напитков по техническим картам с соблюдением рецептур сети; • Поддержание чистоты на рабочем месте; • Работа с кассой; • Приветливость и забота о гостях.,https://hh.ru/vacancy/126545120
Утренний бариста в кофейню Дринкит (м.Коммунарка),Дринкит - сеть кофеен,2025-10-21,50.0,70.0,3300.0,275.0,'5-12,Нет опыта,ТК,5/12,2 раза в месяц,"обучение, кофе",Готовить кофе и другие напитки. Проводить уборку рабочей зоны. Общаться с гостями.,https://hh.ru/vacancy/126339499
Бариста в кофейню,Coffee Point,2025-10-21,75.0,110.0,,,,Нет опыта,ТК,5/2,2 раза в месяц,"питание, бесплатное питание, форма, бонус, бонусы, подарки, обучение, кофе",Готовить ароматный кофе и авторские напитки. Работать с кассой и помогать гостям с выбором. Следить за уютом и чистотой кофейни. ,https://hh.ru/vacancy/123733439
Бариста,Здрасте,2025-10-22,70.0,95.0,,,14.0,Нет опыта,ТК,"2/2, 5/2",,"питание, бесплатное питание, бонус, бонусы, обучение, кофе",Приготовление кофе и других напитков по стандартам компании. - Обслуживание гостей с улыбкой и заботой. - Поддержание чистоты и порядка на рабочем...,https://hh.ru/vacancy/126833777
Бариста / Кассир в кофейню при поликлинике,Coffee Point,2025-10-17,75.0,110.0,,,,Нет опыта,ТК,5/2,2 раза в месяц,"питание, бесплатное питание, форма, бонус, бонусы, подарки, обучение, кофе, чай",Приготовление ароматного кофе и напитков по фирменным рецептам. - Помощь гостям в выборе и создание приятного впечатления. - Работа с кассой и...,https://hh.ru/vacancy/126639860
Бариста в Cofix,Cofix (ИП Курбанов-Осипов Михаил Александрович),2025-10-19,65.0,80.0,,,,Нет опыта,ТК,"30/15, 30/23",2 раза в месяц,"обучение, кофе",Приготовление напитков по техническим картам с соблюдением рецептур сети; • Поддержание чистоты на рабочем месте; • Работа с кассой; • Приветливость и забота о гостях и коллегах.,https://hh.ru/vacancy/125866832
Бариста в ТРЦ Columbus,Хлеб с маслом,2025-10-20,71.4,85.2,,,,Нет опыта,ТК,"2/2, 4/2, 3/3",2 раза в месяц,"питание, бесплатное питание, форма, обучение, кофе","Приготовление кофейных напитков Прием заказов в формате togo; помощь и активные доп. продажи гостям при выборе напитков/ выпечки Расчет гостей, работа с кассой Оформление витрин Соблюдение стандартов компании Создание позитивной и уютной атмосферы кофейни",https://hh.ru/vacancy/125902040
"Бариста в кафе ""Братья Караваевы""",Кулинарная лавка братьев Караваевых,2025-10-19,,120.0,,,,Нет опыта,ТК,6/1,2 раза в месяц,"питание, форма, обучение, кофе",Консультируют покупателей по ассортименту напитков и десертов. Информируют гостей о действующей системе лояльности. Производят расчëт гостей на кассе. ,https://hh.ru/vacancy/125802231
Бариста “Cofix”,Овчинников Иван Сергеевич,2025-10-20,40.0,70.0,,,,Нет опыта,ТК,"30/15, 30/23",2 раза в месяц,"обучение, кофе",Приготовление напитков по техническим картам с соблюдением рецептур сети; • Поддержание чистоты на рабочем месте; • Работа с кассой; • Приветливость и забота о гостях и коллегах.,https://hh.ru/vacancy/126427539
Бариста-бармен,Novikov Space,2025-10-20,75.0,,,,,Нет опыта,ТК,2/2,,"питание, бонус, бонусы, обучение, кофе",Приготовление напитков по меню. - Поддержание чистоты и порядка на баре. - Работа с поставщиками и контроль запасов. - Проведение инвентаризаций.,https://hh.ru/vacancy/126528281
Бариста,Спектр,2025-10-21,85.0,105.0,,,,Нет опыта,ТК,6/1,2 раза в месяц,"скидки, обучение, кофе",* Приготовление кофе и других напитков по авторским рецептам. * Обслуживание клиентов на высоком уровне. * Поддержание чистоты и порядка на рабочем месте. * Работа с кассой и ведение учёта продаж.,https://hh.ru/vacancy/125982564
Бариста (м. Останкино),ДНИ НЕДЕЛИ,2025-10-20,120.0,,3600.0,300.0,13.0,От 1 года до 3 лет,ТК,"5/2, 3/3, 2/2",Ежемесячно,"обучение, кофе","Готовить авторские напитки, разумеется, не забывая про классику. Заниматься развитием кофейни и работать над узнаваемостью бренда. Принимать активное участие в...",https://hh.ru/vacancy/126732198
Старший бариста кофейни,КофеБрейк,2025-10-21,90.0,110.0,,,,От 1 года до 3 лет,ТК,5/2,,кофе,Функционал позиции: Управление и контроль работы команды смены. Выполнение плановых показателей по продажам. Заказы и контроль поставок. Выполнение и контроль...,https://hh.ru/vacancy/125861256
Бариста,Уголок (ИП Кулешова Ольга Валерьевна),2025-10-22,70.0,,4440.0,370.0,12.0,Нет опыта,ТК,3/3,Еженедельно,"премии, подарки, скидки, обучение, кофе",Общаться с гостями и работать с кассой. - Поддерживать чистоту и уют в кофейне.,https://hh.ru/vacancy/126443611
Бариста (м. Дмитровская),ДНИ НЕДЕЛИ,2025-10-21,120.0,,3600.0,300.0,13.0,От 1 года до 3 лет,ТК,"2/2, 3/3, 4/3, 5/2",Ежемесячно,"обучение, кофе","Кайфуешь от общения с людьми. Готовить авторские напитки, разумеется, не забывая про классику. Заниматься развитием кофейни и работать над узнаваемостью...",https://hh.ru/vacancy/125857498
Бариста (спешелти),РЭДИС,2025-10-19,,125.0,,,,От 1 года до 3 лет,ТК,5/2,,"питание, кофе",Ресторанное качество уже готовой еды. 5. Участие в дегустациях новых продуктов и в принятии решений об их вводе в меню. ,https://hh.ru/vacancy/125812013
Бариста,BY ME цветы и кофе,2025-10-21,80.0,,,,,От 1 года до 3 лет,ТК,3/3,,,"Работал бариста от 2х лет • Владеет техниками помола и экстракции • Владеет техниками взбивания молока и латте-арт • Любит гостей и хочет быть частью авторского проекта, умеет работать в команде и хочет развиваться • Пунктуален и ответственно относится к своим обязанностям • Умеет соблюдать порядок и чистоту на рабочем месте • Имеет мед.книжку",https://hh.ru/vacancy/125974129
Бариста в кофейню Дринкит (м. Новокузнецкая),Дринкит - сеть кофеен,2025-10-21,55.0,70.0,3300.0,275.0,'5-12,Нет опыта,ТК,5/12,2 раза в месяц,"обучение, кофе",Готовить кофе и другие напитки. Проводить уборку рабочей зоны. Общаться с гостями.,https://hh.ru/vacancy/126541210
Бариста в Сандра БУЛОК,Сандра БУЛОК,2025-10-20,71.0,86.0,4680.0,390.0,12.0,Нет опыта,ТК,"4/3, 5/2, 30/20",,"питание, обучение, кофе","варить вкусный кофе, рассказывать про наши потрясающие булочки, делиться своими открытиями и эмоциями с нашими гостями, погружать их в булочно - кофейный мир, поддерживать порядок и чистоту на своем рабочем месте, развиваться самому и помогать команде становиться еще лучше",https://hh.ru/vacancy/125652633
Бариста в кофейню ONE & DOUBLE,OD BRANDS,2025-10-21,67.5,99.9,3600.0,300.0,12.0,Нет опыта,ТК,"2/2, 3/3, 3/1, 4/2, 5/2, 6/1",,"питание, форма, бонус, бонусы, кофе",Приготовление самых вкусных напитков. Наводить уют в кофейне. Помощь гостю при выборе в меню.,https://hh.ru/vacancy/126362202
